title,authors,year,url
Temporal merge tree maps: A topology-based static visualization for temporal scalar data,"W Köpp , T Weinkauf",2022,https://ieeexplore.ieee.org/abstract/document/9903344/
Merge tree geodesics and barycenters with path mappings,"F Wetzels , M Pont , J Tierny … - IEEE Transactions on …, 2023",2023,https://ieeexplore.ieee.org/abstract/document/10296528/
Multi- field visualisation via trait-induced merge trees,"J Jankowai, TB Masood , I Hotz",2023,https://ieeexplore.ieee.org/abstract/document/10363146/
Multi- field Visualization: Trait design and trait-induced merge trees,"D Lei, J Jankowai, P Hristov , H Carr … - … on Visualization and …, 2025",2025,https://ieeexplore.ieee.org/abstract/document/10832561/
Principal geodesic analysis of merge trees (and persistence diagrams),"M Pont , J Vidal, J Tierny",2022,https://ieeexplore.ieee.org/abstract/document/9920234/
Categorizing Merge Tree Edit Distances by Stability using Minimal Vertex Perturbation,"F Wetzels , C Garth",2025,https://arxiv.org/abs/2508.02352
Extreem: Scalable augmented merge tree computation via extremum graphs,"J Lukasczyk, M Will , F Wetzels … - IEEE transactions on …, 2023",2023,https://ieeexplore.ieee.org/abstract/document/10290925/
Hierarchical properties in merge trees for symmetry detection,A Bigelius,2024,https://www.diva-portal.org/smash/record.jsf?pid=diva2:2014581
Taming horizontal instability in merge trees: On the computation of a comprehensive deformation-based edit distance,"F Wetzels , M Anders , C Garth",2023,https://ieeexplore.ieee.org/abstract/document/10363141/
Fast Merge Tree Computation via SYCL,"A Nigmetov , D Morozov",2022,https://ieeexplore.ieee.org/abstract/document/9975813/
Intrinsic interleaving distance for merge trees,"E Gasparovic , E Munch , S Oudot , K Turner , B Wang… - La Matematica, 2025",2025,https://link.springer.com/article/10.1007/s44007-024-00143-9
Wasserstein auto-encoders of merge trees (and persistence diagrams),"M Pont , J Tierny",2023,https://ieeexplore.ieee.org/abstract/document/10330140/
Fast Merge Tree Computation via SYCL,"A Nigmetov , D Morozov",2023,https://arxiv.org/abs/2301.10838
An Interleaving Distance for Ordered Merge Trees,"TPJ Beurskens, TAE Ophelders … - 40th European …, 2024",2024,https://research.tue.nl/en/publications/an-interleaving-distance-for-ordered-merge-trees/
Extremely Scalable Distributed Computation of Contour Trees via Pre-Simplification,"M Li , H Carr , O Rübel , B Wang… - 2025 IEEE 15th …, 2025",2025,https://ieeexplore.ieee.org/abstract/document/11298827/
"From Trees to Barcodes and Back Again: A Combinatorial, Probabilistic and Geometric Study of a Topological Inverse Problem",AE Garin,2022,https://infoscience.epfl.ch/entities/publication/16358fe5-358f-49fc-ad4d-75fab85f2c1e
